Fecha,Delegación,Clave INEGI AGEE,Código Penal Federal (CPF)_Delitos contra la salud_ Producción,Código Penal Federal (CPF)_Delitos contra la salud_Transporte,Código Penal Federal (CPF)_Delitos contra la salud_Tráfico,Código Penal Federal (CPF)_Delitos contra la salud_Comercio,Código Penal Federal (CPF)_Delitos contra la salud_Suministro,Código Penal Federal (CPF)_Delitos contra la salud_Posesión,Código Penal Federal (CPF)_Delitos contra la salud_Otros,Código Penal Federal (CPF)_Cometidos por Servidores Públicos,Código Penal Federal (CPF)_Contra el Ambiente y la Gestión Ambiental,Código Penal Federal (CPF)_Contra la integridad corporal,Código Penal Federal (CPF)_Electorales,Código Penal Federal (CPF)_En Materia de Derechos de Autor,"Código Penal Federal (CPF)_Falsedad, Título Décimo Tercero",Código Penal Federal (CPF)_Patrimoniales,Código Penal Federal (CPF)_Vías de Comunicación y Correspondencia,Código Penal Federal (CPF)_Otros Delitos del CPF,Código Fiscal de la Federación (CFF),Ley de la Propiedad Industrial (LPI),Ley de Vías Generales de Comunicación (LVGC),Ley Federal del Derecho de Autor (LFDA),Ley Federal de Armas de Fuego y Explosivos (LFAFE),Ley de Migración (LM),Ley General de Salud (LGS)_Contra la salud en su modalidad de Narcomenudeo,Ley General de Salud (LGS)_Otros delitos previstos en la LGS,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Contra la salud,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Otros delitos previstos en la LFCDO,"Leyes de Instituciones de Crédito, Inversión, Fianzas y Seguros",Otras Leyes Especiales
2015-01,AGUASCALIENTES,1,0,0,0,0,0,3,6,0,1,0,3,1,9,4,0,3,9,3,0,0,10,0,1,0,0,6,5,18
2015-01,BAJA CALIFORNIA,2,8,3,0,25,0,27,2,11,1,1,13,1,26,69,0,22,5,3,0,1,113,7,99,3,0,0,6,18
2015-01,BAJA CALIFORNIA SUR,3,4,1,0,6,0,8,1,1,3,0,3,0,2,4,0,4,0,0,0,0,8,0,2,0,0,0,1,3
2015-01,CAMPECHE,4,0,0,0,0,0,0,0,1,1,0,0,0,4,5,0,7,1,5,4,0,7,4,1,0,0,0,0,1
2015-01,COAHUILA,5,6,4,0,2,0,1,1,16,1,0,2,1,3,18,1,24,8,1,1,1,42,0,1,1,0,1,0,36
2015-01,COLIMA,6,0,0,0,1,0,0,3,4,0,0,2,3,9,12,0,6,0,3,1,0,15,0,1,1,0,1,0,6
2015-01,CHIAPAS,7,1,10,0,2,0,6,1,9,14,0,16,0,7,14,0,11,10,1,14,0,23,16,12,1,0,0,1,10
2015-01,CHIHUAHUA,8,2,4,0,1,0,16,3,9,4,0,10,2,7,74,2,29,22,1,0,0,53,0,8,1,0,2,1,9
2015-01,DISTRITO FEDERAL,9,1,1,0,6,0,3,12,49,5,1,15,15,225,308,4,114,47,94,11,0,62,0,8,0,1,14,75,75
2015-01,DURANGO,10,3,0,0,0,0,0,0,8,2,3,3,0,4,8,1,7,3,0,1,0,13,0,0,0,0,2,1,4
2015-01,GUANAJUATO,11,1,2,0,4,0,16,2,10,0,1,10,1,8,122,3,18,2,1,4,6,75,0,4,3,0,2,2,12
2015-01,GUERRERO,12,0,2,0,5,0,10,10,5,1,0,6,1,45,23,55,14,1,0,15,0,49,0,0,0,0,8,0,12
2015-01,HIDALGO,13,0,0,0,2,0,1,1,3,3,0,0,0,2,64,0,8,9,0,2,1,24,0,1,0,0,2,1,3
2015-01,JALISCO,14,0,0,0,2,0,48,12,20,5,3,11,0,13,145,5,22,12,25,2,2,111,0,22,3,0,4,16,44
2015-01,MÉXICO,15,1,0,0,5,0,13,6,12,4,0,12,3,9,173,1,47,11,21,24,0,91,1,8,2,0,15,5,38
2015-01,MICHOACÁN,16,2,2,0,3,0,31,17,55,5,7,24,2,10,44,3,33,19,12,0,0,87,0,5,2,0,4,2,5
2015-01,MORELOS,17,0,0,0,0,0,2,0,9,2,0,3,0,3,12,1,9,0,0,2,0,43,0,4,0,1,0,2,6
2015-01,NAYARIT,18,0,0,0,0,0,2,2,5,2,4,4,0,1,4,0,11,3,0,1,0,12,0,0,1,0,0,0,2
2015-01,NUEVO LEÓN,19,0,6,0,1,0,13,1,21,0,0,3,1,8,38,0,9,10,23,0,0,39,0,1,1,0,4,2,11
2015-01,OAXACA,20,4,3,0,3,1,2,5,7,9,1,4,3,9,38,0,9,1,0,52,0,82,6,17,0,0,0,0,5
2015-01,PUEBLA,21,6,1,0,0,0,0,2,4,4,1,7,3,3,99,1,10,0,2,4,1,35,1,8,1,0,0,1,8
2015-01,QUERÉTARO,22,0,1,0,1,0,4,0,5,0,0,1,0,3,46,0,7,1,4,1,1,23,0,2,1,0,0,6,3
2015-01,QUINTANA ROO,23,0,0,0,1,0,1,9,5,3,0,7,0,1,13,1,2,9,3,0,0,8,0,4,1,0,0,0,2
2015-01,SAN LUIS POTOSÍ,24,1,10,0,0,0,3,0,3,2,0,4,4,3,10,1,10,8,0,0,6,32,0,0,0,0,0,0,7
2015-01,SINALOA,25,4,3,1,2,0,24,4,7,2,0,6,0,3,167,0,9,7,0,2,1,67,0,19,1,0,3,3,16
2015-01,SONORA,26,7,11,0,0,0,35,22,10,1,1,55,3,7,31,6,25,45,3,4,2,48,2,27,7,0,0,4,15
2015-01,TABASCO,27,0,2,0,0,0,0,0,8,0,0,3,0,5,17,2,19,0,0,1,0,5,5,4,0,0,1,0,6
2015-01,TAMAULIPAS,28,0,0,0,5,0,43,0,29,0,14,2,1,6,167,3,46,11,1,0,4,153,9,0,0,0,11,0,78
2015-01,TLAXCALA,29,0,0,0,0,0,0,0,5,2,0,3,0,1,11,0,9,5,0,3,0,10,1,10,2,0,0,0,5
2015-01,VERACRUZ,30,1,1,0,0,0,1,1,30,3,1,19,5,7,106,15,52,12,1,7,5,41,6,9,7,0,1,2,41
2015-01,YUCATÁN,31,0,1,0,0,0,5,0,11,5,0,0,0,24,8,0,6,1,1,2,0,5,0,6,2,0,1,5,7
2015-01,ZACATECAS,32,0,0,0,0,0,2,1,1,0,0,6,2,1,23,1,2,2,0,0,0,7,0,0,0,0,0,0,23
2015-01,EXTRANJERO,33,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3
2015-02,AGUASCALIENTES,1,0,0,0,0,0,5,9,0,0,0,0,1,3,5,0,7,9,5,2,14,6,1,1,1,0,3,0,20
2015-02,BAJA CALIFORNIA,2,0,7,0,27,0,41,1,18,1,0,1,3,24,118,1,9,7,4,0,0,91,10,67,1,0,1,5,25
2015-02,BAJA CALIFORNIA SUR,3,3,1,0,3,0,4,0,2,1,0,0,0,0,13,0,6,7,0,0,0,11,0,4,0,0,1,0,1
2015-02,CAMPECHE,4,0,0,0,1,0,0,2,4,4,0,0,0,2,8,1,9,0,0,2,0,1,1,2,0,0,0,0,0
2015-02,COAHUILA,5,6,1,0,9,0,2,0,7,0,1,0,5,1,18,0,28,5,3,2,2,29,2,3,2,0,10,0,32
2015-02,COLIMA,6,0,0,0,0,0,2,3,6,0,0,0,0,10,10,0,6,5,3,0,0,14,0,2,1,0,1,0,6
2015-02,CHIAPAS,7,6,7,1,1,0,1,4,9,7,0,2,0,6,16,2,15,9,1,11,1,18,14,12,3,0,0,0,18
2015-02,CHIHUAHUA,8,2,5,0,0,0,17,0,19,0,1,3,0,11,85,0,22,17,1,1,0,70,3,10,1,0,2,4,14
2015-02,DISTRITO FEDERAL,9,0,3,1,7,0,9,19,64,4,2,6,13,327,381,10,161,82,117,3,3,79,1,6,3,0,19,97,78
2015-02,DURANGO,10,1,0,0,1,0,0,0,4,3,0,0,0,0,15,3,6,2,0,0,0,26,0,0,0,0,1,0,9
2015-02,GUANAJUATO,11,0,1,0,2,0,10,4,6,1,0,4,1,16,183,1,29,18,11,16,6,70,1,4,9,0,1,5,22
2015-02,GUERRERO,12,0,1,0,3,0,15,7,8,3,1,3,0,13,18,41,23,2,2,7,0,55,0,0,0,0,23,0,18
2015-02,HIDALGO,13,0,0,0,0,0,0,0,6,10,0,1,1,13,61,5,7,12,1,3,0,22,0,0,0,0,0,0,3
2015-02,JALISCO,14,0,1,0,1,0,61,7,16,4,5,9,0,24,132,1,23,15,41,1,3,111,0,4,2,0,5,14,63
2015-02,MÉXICO,15,1,4,0,2,0,7,3,9,8,1,35,6,16,168,1,46,11,22,2,1,77,2,11,0,0,10,6,46
2015-02,MICHOACÁN,16,0,1,0,7,0,41,24,33,7,4,4,2,12,36,4,24,16,1,1,0,74,0,9,1,0,2,1,21
2015-02,MORELOS,17,0,0,0,0,0,3,0,7,5,0,2,0,7,25,0,10,0,2,2,0,40,0,7,0,0,1,0,18
2015-02,NAYARIT,18,2,0,1,0,0,1,4,5,4,5,0,1,1,5,0,6,2,0,0,0,10,0,0,0,0,0,0,8
2015-02,NUEVO LEÓN,19,0,5,2,0,0,7,0,23,1,0,1,0,5,38,1,10,25,34,0,0,22,6,16,1,0,0,1,11
2015-02,OAXACA,20,0,4,0,2,0,2,1,4,6,0,0,2,3,23,1,11,3,1,35,0,47,12,14,1,0,0,3,6
2015-02,PUEBLA,21,10,0,0,1,0,0,1,1,5,0,30,4,6,134,0,11,1,7,6,0,37,2,4,1,0,1,2,15
2015-02,QUERÉTARO,22,0,5,0,1,0,3,1,2,0,0,0,0,3,41,0,6,1,6,0,0,13,0,5,0,0,0,4,4
2015-02,QUINTANA ROO,23,0,2,0,1,0,0,3,2,3,1,4,0,1,14,0,7,6,2,0,0,4,0,2,2,0,0,0,6
2015-02,SAN LUIS POTOSÍ,24,0,7,0,1,1,5,5,10,6,0,1,1,6,30,2,18,6,0,1,5,40,1,0,0,0,0,0,15
2015-02,SINALOA,25,4,9,0,4,0,27,9,13,5,3,1,1,4,140,1,10,2,1,0,0,88,0,15,1,0,5,3,16
2015-02,SONORA,26,3,10,0,4,0,40,31,9,2,1,12,0,8,34,0,24,57,0,3,2,58,13,24,10,0,6,2,16
2015-02,TABASCO,27,0,0,0,0,0,0,1,4,3,0,3,1,1,31,0,23,1,0,0,0,8,2,3,0,0,0,0,1
2015-02,TAMAULIPAS,28,0,0,0,4,0,69,0,15,0,6,3,2,5,130,1,57,11,0,1,8,244,11,0,0,0,9,1,65
2015-02,TLAXCALA,29,0,0,0,0,0,0,0,6,2,0,1,1,5,14,0,3,0,2,4,0,8,1,4,1,0,1,0,11
2015-02,VERACRUZ,30,0,2,0,0,0,0,7,8,7,0,3,3,6,133,40,56,13,1,14,1,38,5,19,7,0,2,1,23
2015-02,YUCATÁN,31,0,1,0,0,0,5,0,9,14,3,4,2,5,8,0,2,4,2,2,0,3,0,5,2,0,0,2,7
2015-02,ZACATECAS,32,0,1,0,0,0,2,1,4,0,0,1,6,5,9,0,3,1,1,1,1,14,1,1,2,0,2,2,13
2015-02,EXTRANJERO,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
2015-03,AGUASCALIENTES,1,0,1,0,0,0,3,5,0,0,0,0,0,3,9,0,13,5,3,0,5,7,0,1,0,0,1,3,21
2015-03,BAJA CALIFORNIA,2,0,6,0,22,0,28,0,11,6,0,4,3,33,65,5,9,21,3,1,1,83,11,52,2,0,1,7,31
2015-03,BAJA CALIFORNIA SUR,3,1,0,0,7,0,3,0,2,4,0,0,0,4,2,0,6,3,0,0,0,14,0,1,0,0,1,0,1
2015-03,CAMPECHE,4,0,2,0,0,0,0,0,1,2,0,0,0,6,9,1,7,0,1,2,0,6,1,1,0,0,2,0,1
2015-03,COAHUILA,5,5,1,0,3,1,4,1,2,1,0,2,1,1,22,0,16,9,4,0,0,22,3,0,2,0,1,0,25
2015-03,COLIMA,6,4,0,0,1,1,2,8,17,1,0,0,2,4,22,0,6,2,3,0,0,13,0,1,2,0,0,0,11
2015-03,CHIAPAS,7,0,6,4,4,0,3,0,12,11,1,2,0,15,14,2,19,17,2,14,0,19,18,13,0,0,3,2,16
2015-03,CHIHUAHUA,8,8,2,0,0,0,18,2,16,2,3,3,3,7,138,2,35,19,2,2,2,58,4,8,2,0,0,4,11
2015-03,DISTRITO FEDERAL,9,0,0,0,5,0,12,21,63,2,4,11,16,204,270,7,148,61,82,3,1,71,1,10,2,0,26,76,53
2015-03,DURANGO,10,5,0,0,0,0,5,1,9,1,3,2,1,1,18,1,2,1,0,0,0,19,0,0,0,0,0,2,8
2015-03,GUANAJUATO,11,0,1,0,4,0,13,4,5,0,0,2,3,9,166,10,23,5,2,8,8,87,0,7,6,0,4,4,16
2015-03,GUERRERO,12,1,5,0,13,0,9,8,10,2,0,0,0,6,23,29,26,1,1,0,0,59,0,0,0,0,6,0,24
2015-03,HIDALGO,13,0,0,0,0,0,0,0,2,6,0,0,1,9,52,3,13,2,3,8,0,26,1,2,3,0,0,1,2
2015-03,JALISCO,14,2,0,0,2,0,52,6,18,4,2,4,0,16,117,1,11,11,24,1,6,119,0,1,0,0,8,14,64
2015-03,MÉXICO,15,1,1,0,3,1,8,5,13,7,2,6,2,10,274,2,50,12,25,18,0,108,1,10,4,0,17,8,53
2015-03,MICHOACÁN,16,1,5,0,2,0,24,21,29,8,2,3,1,10,39,2,40,20,2,0,0,67,0,3,1,0,8,4,13
2015-03,MORELOS,17,0,0,0,0,0,3,0,5,4,0,0,1,4,29,1,15,7,0,3,0,27,0,6,0,0,0,2,18
2015-03,NAYARIT,18,1,3,0,1,0,0,6,7,4,0,1,0,0,3,0,21,2,0,2,0,10,0,2,4,0,0,1,2
2015-03,NUEVO LEÓN,19,1,6,0,2,0,12,9,44,2,0,1,0,5,31,1,7,17,7,1,0,46,7,6,0,0,6,8,7
2015-03,OAXACA,20,1,3,0,0,0,3,4,4,10,2,7,0,1,47,7,7,4,0,21,0,74,2,12,2,0,1,0,7
2015-03,PUEBLA,21,3,0,0,0,1,0,2,6,4,3,11,2,7,124,2,32,6,6,16,0,56,2,6,0,0,0,5,15
2015-03,QUERÉTARO,22,2,3,0,2,0,6,5,2,0,0,0,2,7,33,1,11,3,4,0,1,15,0,1,2,0,0,6,5
2015-03,QUINTANA ROO,23,0,1,0,0,0,1,5,2,11,0,1,4,4,30,0,4,9,2,0,0,6,0,2,3,0,1,0,6
2015-03,SAN LUIS POTOSÍ,24,0,8,0,1,0,2,2,5,3,0,2,4,2,15,0,6,3,3,1,0,36,2,0,0,0,1,0,4
2015-03,SINALOA,25,10,9,0,3,0,29,12,11,2,2,0,0,4,108,2,8,8,0,2,3,77,0,26,0,2,4,1,10
2015-03,SONORA,26,3,12,0,3,0,55,26,3,5,1,28,0,5,38,4,28,46,0,1,0,82,13,33,8,0,2,0,13
2015-03,TABASCO,27,0,0,0,0,0,0,0,4,1,0,0,0,2,32,0,14,1,1,1,0,5,3,4,0,0,0,1,4
2015-03,TAMAULIPAS,28,0,0,0,6,0,65,2,42,0,9,1,0,11,177,2,34,13,0,0,7,213,11,0,0,0,21,3,77
2015-03,TLAXCALA,29,0,0,0,0,0,0,1,12,4,1,0,1,5,11,0,5,0,1,2,0,10,2,12,10,0,0,1,5
2015-03,VERACRUZ,30,1,1,0,1,0,1,4,13,2,2,70,1,15,125,4,60,10,0,18,0,31,5,11,13,0,2,1,20
2015-03,YUCATÁN,31,0,1,0,0,0,5,4,23,27,5,1,2,30,33,1,11,1,5,21,0,5,1,4,10,0,1,3,7
2015-03,ZACATECAS,32,1,1,0,1,0,4,0,2,0,0,3,5,0,12,2,6,2,0,0,0,15,0,1,0,0,0,1,23
2015-03,EXTRANJERO,33,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3
2015-04,AGUASCALIENTES,1,0,2,0,0,0,2,7,2,0,0,2,1,4,10,0,22,9,1,1,6,11,0,4,0,0,0,1,19
2015-04,BAJA CALIFORNIA,2,2,5,0,39,0,54,7,7,6,0,2,1,41,78,1,13,14,2,0,0,95,12,63,1,0,1,6,36
2015-04,BAJA CALIFORNIA SUR,3,3,0,0,8,0,9,0,1,0,0,3,1,3,8,0,7,4,0,1,0,6,0,1,0,0,0,0,4
2015-04,CAMPECHE,4,0,0,0,3,0,0,0,1,6,0,1,1,1,5,0,7,2,6,3,0,2,0,1,0,0,0,0,1
2015-04,COAHUILA,5,2,0,0,2,0,5,1,4,1,0,2,0,8,16,1,27,20,5,1,0,22,2,2,2,0,1,1,45
2015-04,COLIMA,6,1,1,0,2,0,2,3,5,1,1,5,2,4,13,1,8,0,2,0,0,19,0,0,1,0,0,0,3
2015-04,CHIAPAS,7,0,10,1,1,0,2,1,18,15,1,4,2,16,24,5,13,8,0,11,0,18,22,17,0,0,1,0,12
2015-04,CHIHUAHUA,8,2,1,0,2,0,22,5,17,2,1,2,0,8,39,3,43,15,3,1,2,44,1,2,0,0,3,5,10
2015-04,DISTRITO FEDERAL,9,0,7,0,8,0,16,19,55,2,3,7,19,359,354,5,136,61,73,0,1,57,0,8,1,0,9,133,58
2015-04,DURANGO,10,3,1,0,1,0,2,2,9,3,2,0,0,4,22,1,11,1,0,2,0,27,0,0,0,0,0,0,4
2015-04,GUANAJUATO,11,1,1,0,3,0,26,3,5,1,0,0,2,17,192,5,24,11,5,9,7,83,0,2,2,0,2,3,13
2015-04,GUERRERO,12,2,1,0,7,0,19,16,12,6,0,3,0,15,17,1,20,1,1,0,0,51,0,0,0,0,11,1,12
2015-04,HIDALGO,13,0,0,0,5,0,2,2,4,3,0,2,0,8,189,5,24,9,0,10,0,39,4,1,0,0,0,0,4
2015-04,JALISCO,14,1,1,2,1,0,76,2,16,7,3,8,1,14,152,24,26,12,33,1,3,114,0,0,2,0,6,12,78
2015-04,MÉXICO,15,1,1,0,2,0,5,2,18,7,1,11,12,30,207,2,57,12,27,5,1,104,2,3,2,0,14,6,42
2015-04,MICHOACÁN,16,4,1,0,10,0,25,17,25,5,3,2,6,10,43,2,40,14,2,0,3,67,0,4,1,0,5,0,15
2015-04,MORELOS,17,1,0,0,0,0,3,1,8,6,0,0,0,7,20,2,7,0,0,6,0,44,0,8,1,0,4,1,6
2015-04,NAYARIT,18,1,1,0,0,0,1,4,3,1,16,1,1,4,6,0,11,1,0,1,0,15,1,1,1,0,0,0,4
2015-04,NUEVO LEÓN,19,0,2,0,2,0,13,2,39,1,4,0,1,6,23,0,15,19,13,2,0,33,1,12,3,0,0,20,16
2015-04,OAXACA,20,1,5,0,2,0,3,3,13,2,3,1,2,2,61,6,10,4,1,24,3,75,14,9,0,0,1,0,7
2015-04,PUEBLA,21,12,0,1,0,0,2,5,1,2,0,1,2,3,152,0,17,1,2,2,0,53,1,8,0,0,0,1,6
2015-04,QUERÉTARO,22,0,1,0,0,0,2,3,5,1,0,1,0,6,41,1,5,2,10,0,0,14,0,1,0,0,0,2,6
2015-04,QUINTANA ROO,23,0,0,0,0,0,1,5,5,10,0,8,2,3,19,2,2,13,1,0,0,3,0,1,5,0,5,1,2
2015-04,SAN LUIS POTOSÍ,24,0,3,1,1,0,2,1,6,1,0,0,1,5,24,0,9,7,1,1,2,42,3,0,0,0,0,0,4
2015-04,SINALOA,25,3,4,0,4,0,29,11,4,1,2,4,0,4,40,1,6,12,1,2,0,69,0,11,0,0,2,0,8
2015-04,SONORA,26,8,9,0,0,0,35,20,3,1,1,14,0,4,45,2,36,43,1,2,1,50,12,25,9,0,4,0,8
2015-04,TABASCO,27,0,0,0,0,0,1,0,5,1,0,1,0,2,26,2,24,2,0,1,0,7,5,4,0,0,1,0,3
2015-04,TAMAULIPAS,28,0,0,0,1,0,53,0,31,0,7,5,1,3,99,0,38,14,2,0,1,151,9,1,0,0,20,1,32
2015-04,TLAXCALA,29,0,0,0,0,0,0,0,7,2,1,0,0,4,9,0,5,1,1,4,0,3,1,3,2,0,1,0,13
2015-04,VERACRUZ,30,0,0,0,0,1,1,1,10,3,0,28,1,12,117,3,65,7,1,14,1,40,10,20,6,0,1,1,21
2015-04,YUCATÁN,31,0,1,0,0,0,1,0,13,6,1,3,0,3,3,0,3,0,3,2,0,1,0,0,0,0,0,0,2
2015-04,ZACATECAS,32,1,0,0,0,0,1,2,0,0,0,3,4,0,4,0,6,2,0,0,0,11,2,3,0,0,0,1,10
2015-04,EXTRANJERO,33,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2015-05,AGUASCALIENTES,1,0,1,0,1,0,3,10,6,1,0,1,0,5,13,0,9,5,3,3,14,13,1,0,0,1,4,4,22
2015-05,BAJA CALIFORNIA,2,0,9,0,38,0,45,4,7,8,0,14,6,26,57,1,18,12,7,0,0,77,8,46,1,1,1,2,34
2015-05,BAJA CALIFORNIA SUR,3,2,0,0,1,0,5,4,2,2,0,6,2,0,1,1,8,0,1,0,0,10,0,2,2,0,1,1,3
2015-05,CAMPECHE,4,1,0,0,1,0,1,0,2,3,0,0,0,0,11,0,6,1,0,1,0,4,1,4,0,0,0,0,2
2015-05,COAHUILA,5,2,1,0,1,1,3,0,7,1,0,1,2,3,17,1,26,13,6,0,1,28,1,2,1,0,0,0,29
2015-05,COLIMA,6,0,0,0,1,0,2,4,5,0,0,4,0,1,12,0,3,2,0,1,0,7,0,3,1,0,0,0,12
2015-05,CHIAPAS,7,3,4,0,7,1,3,1,21,11,1,10,3,11,28,7,34,11,2,54,0,22,30,17,3,0,0,0,11
2015-05,CHIHUAHUA,8,0,3,0,5,1,17,7,15,2,0,2,3,5,39,0,18,35,4,1,0,51,4,16,2,0,2,6,10
2015-05,DISTRITO FEDERAL,9,3,2,0,6,0,13,28,58,2,5,19,6,201,278,3,134,60,37,2,3,62,0,6,4,0,6,177,52
2015-05,DURANGO,10,3,0,0,0,0,5,2,14,2,3,1,2,2,14,0,15,2,1,0,0,15,0,0,0,0,0,0,9
2015-05,GUANAJUATO,11,0,1,0,7,0,19,3,4,1,0,2,2,9,180,1,45,11,4,14,2,93,0,9,3,0,1,1,21
2015-05,GUERRERO,12,1,2,0,9,0,4,11,17,2,3,4,0,6,20,4,12,2,0,0,1,58,0,1,0,0,7,0,9
2015-05,HIDALGO,13,1,0,0,0,0,0,1,1,4,0,1,0,3,69,2,13,7,1,7,0,12,0,0,2,0,3,0,6
2015-05,JALISCO,14,0,0,0,2,0,90,3,14,5,4,14,1,13,123,6,19,11,37,0,4,124,0,1,1,0,11,23,64
2015-05,MÉXICO,15,0,2,0,6,0,11,5,13,8,0,9,3,45,228,7,49,28,37,8,0,97,6,5,0,0,10,10,31
2015-05,MICHOACÁN,16,3,7,0,5,0,30,26,32,11,1,7,3,2,41,2,30,13,2,0,0,70,0,10,0,0,3,1,12
2015-05,MORELOS,17,0,0,0,1,0,1,0,4,1,0,2,1,8,14,1,8,1,0,0,0,23,0,6,2,0,0,1,13
2015-05,NAYARIT,18,5,1,0,0,0,2,1,7,3,18,2,0,3,1,0,10,6,0,0,0,5,0,4,0,0,0,0,6
2015-05,NUEVO LEÓN,19,0,7,0,0,0,9,0,29,1,0,6,0,10,37,2,19,20,17,0,0,36,3,18,0,0,2,9,6
2015-05,OAXACA,20,1,2,0,1,0,0,3,11,4,3,15,0,4,48,6,17,3,0,33,2,68,9,16,0,0,1,1,18
